final_score,num_moves,game_duration,did_succed
315,88,1005.593986749649,0
190,66,620.3118560314178,0
105,77,579.648787021637,0
705,137,1021.0356979370117,1
10,2,172.25556826591492,1
0,0,1.5599353313446045,0
0,0,1.4163169860839844,0
690,140,911.0790650844574,1
70,70,413.10756826400757,0
695,129,915.9921469688416,1
230,105,811.9509170055389,0
305,82,775.0463743209839,0
710,133,1124.4741458892822,1
5,4,1532.512356042862,0
165,128,705.9565949440002,0
120,69,406.3251061439514,0
680,114,820.2177426815033,1
155,100,513.4706287384033,0
165,91,615.8530559539795,0
290,77,649.1910269260406,0
160,68,450.68769884109497,0
0,0,2.4699957370758057,0
20,3,42.289278984069824,0
5,2,25.854433059692383,0
0,0,0.8872029781341553,0
0,0,2.044430732727051,0
20,3,117.81130909919739,0
0,25,808.3632311820984,0
0,0,1.828895092010498,0
