log_file,num_runs,num_turns,rule_order,col_order,avg_win_rate,avg_moves_win,ci95_win_rate
logs/runs_auto_basic_500_300_34215_6543210.log,500,300,34215,6543210,0.264,125.98484848484848,0.027321022059944976
logs/runs_auto_basic_500_300_34251_6543210.log,500,300,34251,6543210,0.288,131.52083333333334,0.02806676200775572
logs/runs_auto_basic_500_300_34512_6543210.log,500,300,34512,6543210,0.288,130.97222222222223,0.02806676200775572
logs/runs_auto_basic_500_300_34521_6543210.log,500,300,34521,6543210,0.382,131.3455497382199,0.0301149391764287
logs/runs_auto_basic_500_300_35124_6543210.log,500,300,35124,6543210,0.356,127.78089887640449,0.029677273837062593
logs/runs_auto_basic_500_300_35142_6543210.log,500,300,35142,6543210,0.382,129.58115183246073,0.0301149391764287
logs/runs_auto_basic_500_300_35214_6543210.log,500,300,35214,6543210,0.402,126.12437810945273,0.030389229565752404
logs/runs_auto_basic_500_300_35241_6543210.log,500,300,35241,6543210,0.37,128.24864864864864,0.02992452104879876
logs/runs_auto_basic_500_300_35412_6543210.log,500,300,35412,6543210,0.406,131.6206896551724,0.030437733529288937
logs/runs_auto_basic_500_300_35421_6543210.log,500,300,35421,6543210,0.37,129.9945945945946,0.02992452104879876
logs/runs_auto_basic_500_300_41235_6543210.log,500,300,41235,6543210,0.266,126.15789473684211,0.027387028871347106
logs/runs_auto_basic_500_300_41253_6543210.log,500,300,41253,6543210,0.282,127.17021276595744,0.027889636096586127
logs/runs_auto_basic_500_300_41325_6543210.log,500,300,41325,6543210,0.274,125.95620437956204,0.02764392226873748
logs/runs_auto_basic_500_300_41352_6543210.log,500,300,41352,6543210,0.29,126.31724137931035,0.028124463372658327
logs/runs_auto_basic_500_300_41523_6543210.log,500,300,41523,6543210,0.244,126.36065573770492,0.026620234829918387
logs/runs_auto_basic_500_300_41532_6543210.log,500,300,41532,6543210,0.266,126.81203007518798,0.027387028871347106
logs/runs_auto_basic_500_300_42135_6543210.log,500,300,42135,6543210,0.268,125.67910447761194,0.02745231723552677
logs/runs_auto_basic_500_300_42153_6543210.log,500,300,42153,6543210,0.248,124.80645161290323,0.02676645351181213
logs/runs_auto_basic_500_300_42315_6543210.log,500,300,42315,6543210,0.29,125.71724137931035,0.028124463372658327
logs/runs_auto_basic_500_300_42351_6543210.log,500,300,42351,6543210,0.328,130.40853658536585,0.02909897086840014
logs/runs_auto_basic_500_300_42513_6543210.log,500,300,42513,6543210,0.33,129.6060606060606,0.029144086192570865
logs/runs_auto_basic_500_300_42531_6543210.log,500,300,42531,6543210,0.342,129.63742690058479,0.029402351905927528
logs/runs_auto_basic_500_300_43125_6543210.log,500,300,43125,6543210,0.248,125.96774193548387,0.02676645351181213
logs/runs_auto_basic_500_300_43152_6543210.log,500,300,43152,6543210,0.264,126.61363636363636,0.027321022059944976
